epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.201,1.82248,1.95237,1.2829,0.7891,0.85472,0.9568,0.6025,1.28618,1.41469,1.05335,0.000548158,0.000548158,0.000548158
2,76.302,1.14323,0.74133,0.96581,0.96573,0.96788,0.99356,0.72358,0.99599,0.76365,0.95442,0.00108197,0.00108197,0.00108197
3,95.8286,0.98855,0.62722,0.91873,0.99322,0.99411,0.99472,0.76018,0.96854,0.58134,0.94642,0.00159378,0.00159378,0.00159378
4,115.382,0.89663,0.58149,0.89279,0.99618,0.9953,0.99474,0.80325,0.78214,0.51846,0.89987,0.00156798,0.00156798,0.00156798
5,134.427,0.83447,0.5365,0.87508,0.99487,0.99321,0.99458,0.83374,0.68645,0.49294,0.8697,0.00153497,0.00153497,0.00153497
6,174.578,0.74357,0.4954,0.8554,0.99513,0.99621,0.99447,0.84963,0.61856,0.42864,0.86471,0.00150197,0.00150197,0.00150197
7,199.699,0.70041,0.47713,0.84757,0.99799,0.99786,0.99486,0.82273,0.74453,0.4447,0.88242,0.00146896,0.00146896,0.00146896
8,218.761,0.68058,0.45663,0.84403,0.99896,0.99791,0.99483,0.86447,0.61601,0.40063,0.86228,0.00143595,0.00143595,0.00143595
9,251.65,0.63265,0.43338,0.83477,0.99772,0.99792,0.99475,0.87586,0.54164,0.36912,0.84323,0.00140295,0.00140295,0.00140295
10,270.78,0.62601,0.42456,0.83245,0.99876,0.99891,0.99469,0.82221,0.72009,0.41467,0.87923,0.00136994,0.00136994,0.00136994
11,290.24,0.60991,0.41012,0.82904,0.99878,0.99914,0.9948,0.87473,0.54866,0.35868,0.84422,0.00133693,0.00133693,0.00133693
12,309.638,0.59348,0.40046,0.82774,0.99857,0.99898,0.99481,0.87952,0.5362,0.34076,0.8455,0.00130393,0.00130393,0.00130393
13,328.856,0.56511,0.3847,0.8225,0.99806,0.99883,0.99461,0.89287,0.47703,0.33318,0.83029,0.00127092,0.00127092,0.00127092
14,348.028,0.5709,0.37978,0.82413,0.99908,0.9985,0.9949,0.88905,0.50787,0.32963,0.83525,0.00123791,0.00123791,0.00123791
15,368.215,0.53983,0.36711,0.81684,0.99888,0.99897,0.99481,0.90785,0.44504,0.30752,0.82756,0.00120491,0.00120491,0.00120491
16,387.501,0.54539,0.36812,0.81668,0.99901,0.99897,0.99475,0.89404,0.48885,0.31957,0.83363,0.0011719,0.0011719,0.0011719
17,406.648,0.52061,0.35666,0.81414,0.99886,0.99916,0.99485,0.92278,0.39752,0.30647,0.82133,0.00113889,0.00113889,0.00113889
18,501.283,0.50682,0.34782,0.8102,0.99862,0.9992,0.99482,0.92584,0.39507,0.2934,0.81949,0.00110589,0.00110589,0.00110589
19,520.399,0.47798,0.33822,0.80744,0.99866,0.99888,0.99487,0.92252,0.38998,0.29102,0.82021,0.00107288,0.00107288,0.00107288
20,563.941,0.47569,0.33421,0.80698,0.99819,0.99896,0.99497,0.93366,0.37595,0.28053,0.81836,0.00103987,0.00103987,0.00103987
21,582.848,0.49193,0.34071,0.80845,0.99901,0.99923,0.99486,0.92714,0.38286,0.28223,0.81892,0.00100687,0.00100687,0.00100687
22,603.76,0.4563,0.32374,0.8047,0.99878,0.99899,0.99481,0.92036,0.40657,0.27954,0.81928,0.000973861,0.000973861,0.000973861
23,622.909,0.49248,0.32759,0.80792,0.99913,0.9993,0.99484,0.91328,0.42288,0.28284,0.82039,0.000940855,0.000940855,0.000940855
24,641.958,0.44593,0.31404,0.80249,0.99848,0.99876,0.99494,0.93505,0.36705,0.26289,0.81603,0.000907848,0.000907848,0.000907848
25,660.979,0.44219,0.30934,0.80252,0.99838,0.99901,0.99491,0.94259,0.34196,0.25766,0.81413,0.000874842,0.000874842,0.000874842
26,680.636,0.44112,0.30746,0.80146,0.99856,0.99941,0.99487,0.92986,0.38214,0.26526,0.81868,0.000841835,0.000841835,0.000841835
27,700.046,0.44392,0.30641,0.80199,0.99876,0.99936,0.99489,0.94301,0.34711,0.25321,0.81561,0.000808828,0.000808828,0.000808828
28,739.839,0.44052,0.30277,0.80219,0.99872,0.99923,0.99492,0.94775,0.3351,0.25163,0.81378,0.000775822,0.000775822,0.000775822
29,758.93,0.41617,0.29335,0.79738,0.99846,0.99954,0.99491,0.94816,0.33241,0.24789,0.81266,0.000742815,0.000742815,0.000742815
30,777.778,0.42184,0.29489,0.79903,0.99881,0.99922,0.9949,0.93359,0.37223,0.26014,0.81739,0.000709809,0.000709809,0.000709809
31,813.042,0.40926,0.29221,0.79787,0.99904,0.99921,0.99491,0.94753,0.32446,0.24421,0.81133,0.000676802,0.000676802,0.000676802
32,832.276,0.40354,0.28715,0.79819,0.99828,0.99931,0.99487,0.95382,0.31877,0.24027,0.80989,0.000643795,0.000643795,0.000643795
33,878.109,0.41923,0.29035,0.79718,0.99907,0.99912,0.9949,0.9363,0.35095,0.24712,0.81369,0.000610789,0.000610789,0.000610789
34,897.876,0.41482,0.28799,0.79643,0.99901,0.99904,0.99485,0.94339,0.33045,0.24219,0.81093,0.000577782,0.000577782,0.000577782
35,917.648,0.39346,0.27997,0.79568,0.99893,0.99923,0.99491,0.962,0.29733,0.23607,0.80891,0.000544776,0.000544776,0.000544776
36,967.853,0.38501,0.27665,0.79434,0.9988,0.99936,0.99485,0.9501,0.3181,0.23986,0.81057,0.000511769,0.000511769,0.000511769
37,986.975,0.38282,0.27661,0.79525,0.99904,0.999,0.99489,0.9589,0.29434,0.22986,0.80816,0.000478762,0.000478762,0.000478762
38,1006.22,0.37167,0.27138,0.79532,0.99877,0.99911,0.99486,0.95534,0.30582,0.2288,0.80854,0.000445756,0.000445756,0.000445756
39,1025.11,0.38098,0.27362,0.79317,0.99897,0.99935,0.99491,0.96234,0.29096,0.22578,0.80753,0.000412749,0.000412749,0.000412749
40,1044.08,0.36688,0.26631,0.79235,0.99908,0.99927,0.99491,0.96127,0.29118,0.22535,0.80733,0.000379743,0.000379743,0.000379743
41,1073.92,0.36622,0.27126,0.784,0.99926,0.99929,0.99488,0.93018,0.37482,0.26084,0.81119,0.000346736,0.000346736,0.000346736
42,1090.74,0.33053,0.24762,0.77968,0.99888,0.99933,0.99482,0.96292,0.27919,0.22661,0.80511,0.000313729,0.000313729,0.000313729
